\u0039F           Ο            \upOmicron                                   GREEK CAPITAL LETTER OMICRON
\u003A0           Π            \Pi                                          GREEK CAPITAL LETTER PI
\u003A1           Ρ            \Rho                                         GREEK CAPITAL LETTER RHO
\u003A3           Σ            \Sigma                                       GREEK CAPITAL LETTER SIGMA
\u003A4           Τ            \Tau                                         GREEK CAPITAL LETTER TAU
\u003A5           Υ            \Upsilon                                     GREEK CAPITAL LETTER UPSILON
\u003A6           Φ            \Phi                                         GREEK CAPITAL LETTER PHI
\u003A7           Χ            \Chi                                         GREEK CAPITAL LETTER CHI
\u003A8           Ψ            \Psi                                         GREEK CAPITAL LETTER PSI
\u003A9           Ω            \Omega                                       GREEK CAPITAL LETTER OMEGA
\u003B1           α            \alpha                                       GREEK SMALL LETTER ALPHA
\u003B2           β            \beta                                        GREEK SMALL LETTER BETA
\u003B3           γ            \gamma                                       GREEK SMALL LETTER GAMMA
\u003B4           δ            \delta                                       GREEK SMALL LETTER DELTA
\u003B5           ε            \upepsilon                                   GREEK SMALL LETTER EPSILON
\u003B6           ζ            \zeta                                        GREEK SMALL LETTER ZETA
\u003B7           η            \eta                                         GREEK SMALL LETTER ETA
\u003B8           θ            \theta                                       GREEK SMALL LETTER THETA
\u003B9           ι            \iota                                        GREEK SMALL LETTER IOTA
\u003BA           κ            \kappa                                       GREEK SMALL LETTER KAPPA
\u003BB           λ            \lambda                                      GREEK SMALL LETTER LAMDA / GREEK SMALL LETTER LAMBDA
\u003BC           μ            \mu                                          GREEK SMALL LETTER MU
\u003BD           ν            \nu                                          GREEK SMALL LETTER NU
\u003BE           ξ            \xi                                          GREEK SMALL LETTER XI
\u003BF           ο            \upomicron                                   GREEK SMALL LETTER OMICRON
\u003C0           π            \pi                                          GREEK SMALL LETTER PI
\u003C1           ρ            \rho                                         GREEK SMALL LETTER RHO
\u003C2           ς            \varsigma                                    GREEK SMALL LETTER FINAL SIGMA
\u003C3           σ            \sigma                                       GREEK SMALL LETTER SIGMA
\u003C4           τ            \tau                                         GREEK SMALL LETTER TAU
\u003C5           υ            \upsilon                                     GREEK SMALL LETTER UPSILON
\u003C6           φ            \varphi                                      GREEK SMALL LETTER PHI
\u003C7           χ            \chi                                         GREEK SMALL LETTER CHI
\u003C8           ψ            \psi                                         GREEK SMALL LETTER PSI
\u003C9           ω            \omega                                       GREEK SMALL LETTER OMEGA
\u003D0           ϐ            \upvarbeta                                   GREEK BETA SYMBOL / GREEK SMALL LETTER CURLED BETA
\u003D1           ϑ            \vartheta                                    GREEK THETA SYMBOL / GREEK SMALL LETTER SCRIPT THETA
\u003D5           ϕ            \phi                                         GREEK PHI SYMBOL / GREEK SMALL LETTER SCRIPT PHI
\u003D6           ϖ            \varpi                                       GREEK PI SYMBOL / GREEK SMALL LETTER OMEGA PI
\u003D8           Ϙ            \upoldKoppa                                  GREEK LETTER ARCHAIC KOPPA
\u003D9           ϙ            \upoldkoppa                                  GREEK SMALL LETTER ARCHAIC KOPPA
\u003DA           Ϛ            \Stigma                                      GREEK LETTER STIGMA / GREEK CAPITAL LETTER STIGMA
\u003DB           ϛ            \upstigma                                    GREEK SMALL LETTER STIGMA
\u003DC           Ϝ            \Digamma                                     GREEK LETTER DIGAMMA / GREEK CAPITAL LETTER DIGAMMA
\u003DD           ϝ            \digamma                                     GREEK SMALL LETTER DIGAMMA
\u003DE           Ϟ            \Koppa                                       GREEK LETTER KOPPA / GREEK CAPITAL LETTER KOPPA
\u003DF           ϟ            \upkoppa                                     GREEK SMALL LETTER KOPPA
\u003E0           Ϡ            \Sampi                                       GREEK LETTER SAMPI / GREEK CAPITAL LETTER SAMPI
\u003E1           ϡ            \upsampi                                     GREEK SMALL LETTER SAMPI
\u003F0           ϰ            \varkappa                                    GREEK KAPPA SYMBOL / GREEK SMALL LETTER SCRIPT KAPPA
\u003F1           ϱ            \varrho                                      GREEK RHO SYMBOL / GREEK SMALL LETTER TAILED RHO
\u003F4           ϴ            \textTheta                                   GREEK CAPITAL THETA SYMBOL
\u003F5           ϵ            \epsilon                                     GREEK LUNATE EPSILON SYMBOL
\u003F6           ϶            \backepsilon                                 GREEK REVERSED LUNATE EPSILON SYMBOL
\u01D2C           ᴬ            \^A                                          MODIFIER LETTER CAPITAL A
\u01D2E           ᴮ            \^B                                          MODIFIER LETTER CAPITAL B
\u01D30           ᴰ            \^D                                          MODIFIER LETTER CAPITAL D
\u01D31           ᴱ            \^E                                          MODIFIER LETTER CAPITAL E
\u01D33           ᴳ            \^G                                          MODIFIER LETTER CAPITAL G
\u01D34           ᴴ            \^H                                          MODIFIER LETTER CAPITAL H
\u01D35           ᴵ            \^I                                          MODIFIER LETTER CAPITAL I
\u01D36           ᴶ            \^J                                          MODIFIER LETTER CAPITAL J
\u01D37           ᴷ            \^K                                          MODIFIER LETTER CAPITAL K
\u01D38           ᴸ            \^L                                          MODIFIER LETTER CAPITAL L
\u01D39           ᴹ            \^M                                          MODIFIER LETTER CAPITAL M
\u01D3A           ᴺ            \^N                                          MODIFIER LETTER CAPITAL N
\u01D3C           ᴼ            \^O                                          MODIFIER LETTER CAPITAL O
\u01D3E           ᴾ            \^P                                          MODIFIER LETTER CAPITAL P
\u01D3F           ᴿ            \^R                                          MODIFIER LETTER CAPITAL R
\u01D40           ᵀ            \^T                                          MODIFIER LETTER CAPITAL T
\u01D41           ᵁ            \^U                                          MODIFIER LETTER CAPITAL U
\u01D42           ᵂ            \^W                                          MODIFIER LETTER CAPITAL W
\u01D43           ᵃ            \^a                                          MODIFIER LETTER SMALL A
\u01D45           ᵅ            \^alpha                                      MODIFIER LETTER SMALL ALPHA
\u01D47           ᵇ            \^b                                          MODIFIER LETTER SMALL B
\u01D48           ᵈ            \^d                                          MODIFIER LETTER SMALL D
\u01D49           ᵉ            \^e                                          MODIFIER LETTER SMALL E
\u01D4B           ᵋ            \^epsilon                                    MODIFIER LETTER SMALL OPEN E
\u01D4D           ᵍ            \^g                                          MODIFIER LETTER SMALL G
\u01D4F           ᵏ            \^k                                          MODIFIER LETTER SMALL K
\u01D50           ᵐ            \^m                                          MODIFIER LETTER SMALL M
\u01D52           ᵒ            \^o                                          MODIFIER LETTER SMALL O
\u01D56           ᵖ            \^p                                          MODIFIER LETTER SMALL P
\u01D57           ᵗ            \^t                                          MODIFIER LETTER SMALL T
\u01D58           ᵘ            \^u                                          MODIFIER LETTER SMALL U
\u01D5B           ᵛ            \^v                                          MODIFIER LETTER SMALL V
\u01D5D           ᵝ            \^beta                                       MODIFIER LETTER SMALL BETA
\u01D5E           ᵞ            \^gamma                                      MODIFIER LETTER SMALL GREEK GAMMA
\u01D5F           ᵟ            \^delta                                      MODIFIER LETTER SMALL DELTA
\u01D60           ᵠ            \^phi                                        MODIFIER LETTER SMALL GREEK PHI
\u01D61           ᵡ            \^chi                                        MODIFIER LETTER SMALL CHI
\u01D62           ᵢ            \_i                                          LATIN SUBSCRIPT SMALL LETTER I
\u01D63           ᵣ            \_r                                          LATIN SUBSCRIPT SMALL LETTER R
\u01D64           ᵤ            \_u                                          LATIN SUBSCRIPT SMALL LETTER U
\u01D65           ᵥ            \_v                                          LATIN SUBSCRIPT SMALL LETTER V
\u01D66           ᵦ            \_beta                                       GREEK SUBSCRIPT SMALL LETTER BETA
\u01D67           ᵧ            \_gamma                                      GREEK SUBSCRIPT SMALL LETTER GAMMA
\u01D68           ᵨ            \_rho                                        GREEK SUBSCRIPT SMALL LETTER RHO
\u01D69           ᵩ            \_phi                                        GREEK SUBSCRIPT SMALL LETTER PHI
\u01D6A           ᵪ            \_chi                                        GREEK SUBSCRIPT SMALL LETTER CHI
\u01D9C           ᶜ            \^c                                          MODIFIER LETTER SMALL C
\u01DA0           ᶠ            \^f                                          MODIFIER LETTER SMALL F
\u01DA5           ᶥ            \^iota                                       MODIFIER LETTER SMALL IOTA
\u01DB2           ᶲ            \^Phi                                        MODIFIER LETTER SMALL PHI
\u01DBB           ᶻ            \^z                                          MODIFIER LETTER SMALL Z
\u01DBF           ᶿ            \^theta                                      MODIFIER LETTER SMALL THETA
\u02002                        \enspace                                     EN SPACE
\u02003                       \quad                                        EM SPACE
\u02005                        \thickspace                                  FOUR-PER-EM SPACE
\u02009                        \thinspace                                   THIN SPACE
\u0200A                        \hspace                                      HAIR SPACE
\u02013           –            \endash                                      EN DASH
\u02014           —            \emdash                                      EM DASH
\u02016           ‖            \Vert                                        DOUBLE VERTICAL LINE / DOUBLE VERTICAL BAR
\u02018           ‘            \lq                                          LEFT SINGLE QUOTATION MARK / SINGLE TURNED COMMA QUOTATION MARK
\u02019           ’            \rq                                          RIGHT SINGLE QUOTATION MARK / SINGLE COMMA QUOTATION MARK
\u0201B           ‛            \Elzreapos                                   SINGLE HIGH-REVERSED-9 QUOTATION MARK / SINGLE REVERSED COMMA QUOTATION MARK
